일자,지점명,황사관측
2021-01-12,서울,X
2021-01-13,서울,O
2021-01-14,서울,O
2021-01-16,서울,X
2021-03-16,서울,O
2021-03-17,서울,O
2021-03-18,서울,O
2021-03-23,서울,X
2021-03-28,서울,X
2021-03-29,서울,O
2021-04-16,서울,O
2021-04-17,서울,O
2021-04-28,서울,X
2021-05-07,서울,O
2021-05-08,서울,O
2021-05-09,서울,O
2022-03-04,서울,O
2022-03-05,서울,O
2022-03-06,서울,
2022-04-26,서울,X
2022-04-27,서울,O
2022-04-28,서울,O
2022-11-26,서울,X
2022-12-12,서울,X
2022-12-13,서울,O
2022-12-14,서울,
2023-01-07,서울,O
2023-01-08,서울,O
2023-01-09,서울,O
2023-01-19,서울,X
2023-03-15,서울,O
2023-03-16,서울,O
2023-03-23,서울,O
2023-03-25,서울,O
2023-03-26,서울,O
2023-04-11,서울,O
2023-04-12,서울,O
2023-04-13,서울,O
2023-04-14,서울,O
2023-04-16,서울,O
2023-04-17,서울,O
2023-04-21,서울,X
2023-04-22,서울,
2023-04-23,서울,X
2023-05-21,서울,O
2023-05-22,서울,O
2023-05-23,서울,O
